Barrier ID,Site Name,Watershed,Structure Type,Reason for Exclusion,Notes
9f3d518b-86ce-4a95-92b7-b832f9a52d74,Cross River - North Side Rd,Cross River,Stream crossing - OBS,Passable,"SAB May want to consider some in stream enhancement work (E.g., tree planting or cover logs)"
7dd95920-3e10-471a-8f61-210116c18709,Priest Pond - North Side Rd,Priest Pond,Stream crossing - OBS,Passable,
a3da4307-64dc-4fbf-9514-8298429a6bc8,Millers Dam,North Lake Creek,Dam,Passable,Dam not in use and natural bypass established that leads to downstream culvert
90965b09-e7b0-4dac-badd-ca761122be1f,Cow River beach,Cow River,Other,Passable,"Assessed with Nathan Wilbur (civil engineering background); understood these systems are dynamic, but not passability is not a concern here"
f683bc34-520d-4f8e-bccb-057e3ab30d49,NLC beach,North Lake Creek,Other,Passable,There are no physical fish passage issues at this beach other than potential risks of dredging
46fdce4f-fda1-4652-a215-da6d4693bf40,Cross River beach,Cross River,Other,Passable,"Assessed with Nathan Wilbur (civil engineering background); understood these systems are dynamic, but passability is not a concern here"
1293f27f-de5e-4a29-a1b4-edcfbadb34fd,Priest Pond beach,Priest Pond,Other,Passable,"Assessed with Nathan Wilbur (civil engineering background); understood these systems are dynamic, but passability is not a concern here"
f1193ece-7f5d-4a1f-a8f2-d202dc03a87a,Hay River - bridge,Hay River,Stream crossing - OBS,Passable,"No culvert present, bridge present and no fish passage concerns"
055e278f-3190-498f-871f-b2b19d8eb3ce,NLC - Mill Creek ,North Lake Creek,Stream crossing - CBS,Passable,"stream is tidal; pool depths are as far as could reach (super deep); baffles could be added for temp solution for smelt passage, more water could be in culvert during high tide event"
c773c5e7-2eea-47ad-8f31-66e54fb3ec55,Cross River - culvert DS of McInnis Dam,Cross River,Stream crossing - CBS,Passable,"This structure appears passable to salmon and eel, but potentially a barrier to smelt; Overall, the rock ramp appears to be functioning well and still in good condition. Debris from Fiona was cleared here. The culvert itself was soft on the bottom, blown out and leaking in areas near the outflow. The plunge pool was very deep and so completing full measurements in this area was challenging. "
179709a4-6aa7-4545-9271-446adc3f6cd9,McInnis Dam,Cross River,None,No structure,Dam has been decommissioned
