Structure Specific Tasks,Lead,Other Participants
Hay River Beach: Monitor upstream of newly constructed bridge,SAB,
Hay River Beach: Look into windmill fund as a potential future source of restoration funds,SAB,
Bear River Beach: Monitor bi-weekly,SAB,
Bear River Beach: Consider repeating the channel formation for fall salmon run and use as an outreach opportunity for local schools,SAB,
Cow River - Alaskan Steeppass (Selkirk Rd): Monitor bi-weekly for debris build up.,SAB,
Cow River - Alaskan Steeppass (Selkirk Rd): Complete passability status reassessment and draft a plan for restoring fish passage (to remove fishway or not),SAB,ASF (Kris/Jordan)
Larkins Pond: Seek additional funding for barrier-specific project,SAB,"CWF, ASF"
Project Planning Tasks,Lead,Other Participants
Review status of lists of high priority confirmed barriers with Paul Strain,SAB,"ASF, CWF  "
Review Smelt maps to inform accessibility/habitat limits,SAB,
Review barrier assessments to inform eel-specific passage,SAB,"ASF, CWF, eel experts"
"Re-run model to update connectivity status estimate and structure ranks, to recreate material for online WCRP",CWF GIS team,
Update online WCRP,CWF  ,SAB

