Barrier ID,Site Name,Structure Type,structure_owner,Watershed,Number of Barriers Per Set - Eel,Weighted Habitat Gain - Eel,Number of Barriers Per Set - Salmon,Weighted Habitat Gain - Salmon,Passability Status,Assessment Step Completed,Priority ,Next Steps,Notes  
87aefbb4-6d49-44d7-91ba-65f7447b13f5,Larkin's Pond,Dam,Province/Priva,Naufrage River,3,10.92,1,12.81,0.25,Barrier assessment,High,Fundraise,Denil fish ladder present
58516e7c-4461-4730-9c00-dd3bd40ea830,NLC Culvert DS of Millers Dam,Stream crossing - CBS,Province,North Lake Creek,2,0.30,1,1.35,0.5,Barrier assessment,High,Engage with barrier owner,
41e9d2e6-5336-4e92-a4a1-179548a7c4ff,Bear River culvert - Mickle Macum,Stream crossing - CBS,Unknown,Bear River,5,3.22,4,3.46,0,Barrier assessment,Medium,Engage with barrier owner,Outflow environment is a riffle; temporary solution would be to add baffles to culvert (contact Paul Strain re: logistics); water levels below 15cm throughout entire culvert; 
02e35677-fc78-4d5e-9793-dfd0622bc7a2,Bear River beach,Barrier Beach,Province,Bear River,5,0.56,4,0.57,0.75,Barrier assessment,High,Rehabilitation,Temporary fish passage was created (by diverting water into a deeper channel) and removing rock beavers. Barrier needs a long-term solution for salmon spawning run in the fall
59f2c06b-e33f-4a36-910b-3aa5226f575f,Bermuda Triangle,Stream crossing - CBS,Province,Bear River,5,0.85,4,0.85,0.75,Barrier assessment,High,Engage with barrier owner,"This site it is located at the intersection of three roads (Bear River Rd X Northside Rd). The water flows downstream through an open arch culvert with a fish ladder and exits out a long, closed wooden box culvert. The space between both barriers is maybe ~15 ft and bordered by rock crib wall on both sides. A portion of the bottom of the box culvert at the outflow is degraded and leaking. Based on a visual assessment only, it could be a velocity-depth barrier at some point in low flows. Potential recommendations were made to add wood plank to one of the openings (river right) to force water to one side during low-flow events and allow passage on either side during high-flow events. "
870159b1-13f3-4b0c-8822-8f8a3e602be5,NLC - stream crossing 2,Stream crossing - CBS,Province,North Lake Creek,1,1.85,1,2.04,0,Barrier assessment,High,Engage with barrier owner,"Extremely long, angled, undersized culvert, moderate deterioration, presence of outflow drop. Blocking 2.8 km of salmon and 2.45km of eel habitat. Recommendation: full removal of structure and replace with bridge/open bottom structure. "
a1822ead-01a4-4c4f-acdc-f2a0f8542ee1,Cross River - Souris Line Rd,Stream crossing - CBS,Unknown,Cross River,1,1.39,1,1.91,0,Barrier assessment,Low,Engage with barrier owner,"Horizontal wooden beams falling off side of culvert; variable slope, culvert is dripping down in the middle, water depth @ inflow and outflow meter stick blocking flow, stagnation depth @ inflow and outflow meter stick turned not blocking flow, low water may be due to dry season"
95e0201d-24af-4a37-9c2c-c9bcdaf91592,Naufrage - stream crossing 3,Stream crossing - CBS,Province,Naufrage River,2,0.38,2,0.38,0.5,Barrier assessment,Low,Engage with barrier owner,"During our assessment of this structure we saw the presence of several fish upstream (likely Brook Trout). The culvert was visited in high and low flow events. The culvert is relatively new and in  good condition, but it is a closed bottom structure that is not embedded and there could be a  potential barrier in low flow. Recommendation: Baffles are needed throughout the culvert."
12bf33df-e292-4171-8c4b-ec5a8005786f,Naufrage - stream crossing 1,Stream crossing - CBS,Province,Naufrage River,2,0.32,1,0.38,0.5,Barrier assessment,Medium,Engage with barrier owner,
929a4e70-ab42-410e-8ee1-d4fdebbd530a,NLC - stream crossing 3,Stream crossing - CBS,Province,North Lake Creek,1,0.18,1,0.38,0.5,Barrier assessment,High,Engage with barrier owner,
